country_name,country_code,indicator_name,indicator_code,debt_2021,debt_2022,total_debt2023
Belarus,BLR,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,0,0,0
Belarus,BLR,"PPG, other private creditors (DIS, current US$)",DT.DIS.PROP.CD,0,0,0
Belarus,BLR,"PPG, other private creditors (AMT, current US$)",DT.AMT.PROP.CD,,,
Belarus,BLR,"PPG, other private creditors (INT, current US$)",DT.INT.PROP.CD,,,
Belize,BLZ,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,598913593.2,43372543,132383336.3
Belize,BLZ,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,482125825.4,64559183,123483291.7
Belize,BLZ,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD,94125825.4,64559183,123483291.7
Belize,BLZ,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,43014593.2,40982543,98548583.4
Belize,BLZ,"PPG, multilateral (DIS, current US$)",DT.DIS.MLAT.CD,91533000,58923000,81180703.6
Belize,BLZ,"PPG, bilateral (AMT, current US$)",DT.AMT.BLAT.CD,8102739.8,3770997.5,52936013.1
Belize,BLZ,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,19365060.5,32582993.4,51742165.7
Belize,BLZ,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,34911853.4,37211545.5,45612570.3
Belize,BLZ,"PPG, bilateral (DIS, current US$)",DT.DIS.BLAT.CD,2592825.4,5636183,42302588.1
Belize,BLZ,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD,14783060.5,18259993.4,31856165.7
Belize,BLZ,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,2284000,2390000,26491730
